country,country_code,year,PPPPC,rule_law,control_corruption,government_effectiveness,regulatory_quality,tax_efficiency,justice,state_reform,public_policy,government_tax,starting_business,public_services,territorial_coverage,poverty,unemp_youth,literacy,gini,mortality_u5,maternal_mortality,sanitation,electricity
Lithuania,946,2012,24363.18603,0.807141662,0.312483877,0.828137994,1.106372952,3.75,2.799999952,3.75,2.799999952,,4,3.400000095,3.666666746,2.5,26.20000076,99.85580444,35.15,5.6,10,91.2,100
Luxembourg,137,2012,89769.26526,1.77369833,2.122953892,1.658782601,1.756736636,,,,,27.29035663,,,,4,18.5,,34.79,2.1,11,97.6,100
"Macedonia, FYR",962,2012,12215.43155,-0.23732844,0.021086778,-0.073417671,0.345899463,,,,,,,,,,53.79999924,98.63583374,,7.4,8,91,100
Madagascar,674,2012,1399.49621,-0.901443422,-0.566376507,-1.089185119,-0.576817751,2,1.399999976,1.25,0.600000024,9.083027024,4,1.5,0.833333313,0,6.199999809,,40.63,55.5,402,11.6,15.4
Malawi,676,2012,1024.884174,-0.241786957,-0.442492783,-0.491195261,-0.714934766,,,,,16.4270927,,,,0,14,72.13956451,46.12,77.3,624,39.7,9.8
Malaysia,548,2012,22736.32098,0.506140292,0.297329366,1.009899974,0.550040185,2.25,2.200000048,3.75,2.200000048,,3,2,2.5,3.5,10.19999981,98.41871643,,7.7,45,95.9,100
Maldives,556,2012,13180.51293,-0.50017786,-0.455612421,-0.159523949,-0.34672448,,,,,17.58320587,,,,,26.60000038,,,10.7,76,98,100
Mali,678,2012,1643.682139,-0.692563713,-0.785093963,-0.986125767,-0.42305997,1.75,1.799999952,2.5,1.200000048,11.94330926,3.5,0.600000024,1.333333373,0,10.5,47.13697815,,127,617,23.3,25.6
Malta,181,2012,30904.07905,1.335116386,0.964206994,1.240345478,1.314857006,3,3.200000048,3,2.599999905,26.13229544,4,3,3.833333254,3,14.30000019,98.88193512,,6.7,11,100,100
Marshall Islands,867,2012,3190.981925,0.076796733,-0.142718628,-1.648768544,-1.015257597,,,,,15.85465844,,,,,,,,38.3,,76.2,59.32891
Mauritania,682,2012,3884.634639,-0.904165983,-0.725639999,-0.921975017,-0.644868076,2.5,1.399999976,2,1.799999952,16.1437412,3.5,0.800000012,1,,46.5,,,92.7,682,38.2,21.76256
Mauritius,684,2012,16962.25114,0.949528992,0.390894175,0.951333761,0.983566463,3.5,2.799999952,3.25,2.400000095,18.87498474,4,2.599999905,4,,23.70000076,98.13035583,35.84,14.6,54,93,100
Mexico,273,2012,17161.05644,-0.558309317,-0.409525305,0.321698129,0.47363162,1.75,1.200000048,2,1.399999976,9.818997609,4,2,2,2,9.5,98.5644989,48.07,15.3,42,83.7,99.1
Micronesia,868,2012,3037.620036,-0.021891348,-0.109203257,-0.631932914,-0.984026253,,,,,11.64898317,,,,,,,,38.2,107,57,59.32891
Moldova,921,2012,4225.514115,-0.359242976,-0.598627508,-0.552310407,-0.113674067,,,,,21.89027764,,,,0,13.10000038,100,28.53,16.7,26,75.8,100
Mongolia,948,2012,9879.889747,-0.381777287,-0.520600677,-0.632261634,-0.165317133,2.25,2,3,2.200000048,,4,1.600000024,0.333333343,1,9.600000381,98.46024323,33.75,26.2,53,57.9,89.76256
"Montenegro, Rep. of",943,2012,13995.99579,-0.007162517,-0.096531704,0.128478527,0.010478566,,,,,24.70522687,,,,,41.29999924,99.21182251,33.19,5.7,8,94.6,100
Montserrat,351,2012,17742.44898,,,,,,,,,,,,,,,,,,,,
Morocco,686,2012,7194.517233,-0.214134276,-0.439782321,-0.068673953,-0.092230961,2.5,1.600000024,2.75,2.400000095,23.90364947,3,2.200000048,2.5,2,18.5,81.5100708,,30.7,137,75.6,100
Mozambique,688,2012,1039.220579,-0.59814328,-0.577031195,-0.633529663,-0.459101379,2.25,2.200000048,2.5,1.799999952,18.67297643,3,1,1.333333373,0,40.70000076,,,90.9,563,19.8,20.2
Myanmar,518,2012,3980.141639,-1.354258776,-1.116360903,-1.53002882,-1.869268775,0.75,1.600000024,2.25,1,6.574148712,3,1.399999976,1,1.5,9.300000191,96.12908936,,55.3,195,79.4,52.36256
Namibia,728,2012,9659.667937,0.238183349,0.292333484,0.131083205,0.064922825,2.75,2.599999905,2.25,2.200000048,30.35481047,2,2,2.333333254,2,34.20000076,,,49.9,299,33.1,47.26256
Nepal,558,2012,2155.786657,-0.789584696,-0.828004718,-0.986005723,-0.814043999,1,2.200000048,1,1.399999976,13.30518704,1.5,1,1,,4,84.75714874,32.75,40.9,308,41.1,76.3
Netherlands,138,2012,46491.07735,1.841459394,2.128776789,1.799707413,1.751405239,3.5,4,3.75,3.400000095,20.99979244,4,4,4,3.5,9.5,,27.99,4.2,7,97.8,100
New Zealand,196,2012,33220.43591,1.877371192,2.320857286,1.790027857,1.841119289,4,3.599999905,3.5,3.799999952,27.52935499,3.5,3.599999905,3.333333254,4,17.70000076,,,6,12,,100
Nicaragua,278,2012,4325.870292,-0.735369205,-0.777202666,-0.889406025,-0.302418441,2,2.599999905,2.5,2.200000048,15.8180087,2.5,2.400000095,0.666666687,0,10.60000038,,,24.4,164,66.8,77.9
Niger,692,2012,968.0664003,-0.694000363,-0.633021235,-0.706967413,-0.607984006,1,2.200000048,2.75,2.200000048,13.98663366,3,1.600000024,1,0,7.199999809,23.52377701,31.45,109.6,619,10.1,14.4
